iter	Passed	Remaining
0	402	80171
1	748	74129
2	1051	69034
3	1408	69012
4	1733	67595
5	2049	66257
6	2477	68309
7	2930	70321
8	3187	67643
9	3564	67720
10	3916	67284
11	4290	67213
12	4627	66571
13	4957	65859
14	5311	65506
15	5658	65078
16	6003	64626
17	6365	64367
18	6706	63892
19	7017	63155
20	7359	62735
21	7658	61962
22	7969	61331
23	8356	61277
24	8741	61193
25	9060	60632
26	9377	60085
27	9765	59985
28	10120	59673
29	10503	59519
30	10859	59199
31	11257	59103
32	11656	58987
33	12042	58793
34	12530	59070
35	12843	58508
36	13185	58088
37	13486	57494
38	13844	57153
39	14212	56851
40	14558	56457
41	14996	56414
42	15386	56178
43	15716	55720
44	16090	55421
45	16457	55098
46	16841	54824
47	17222	54536
48	17654	54403
49	18077	54232
50	18412	53793
51	18758	53389
52	19097	52967
53	19436	52549
54	19831	52282
55	20227	52012
56	20506	51447
57	20814	50958
58	21085	50391
59	21382	49892
60	21705	49459
61	22045	49068
62	22433	48783
63	22743	48330
64	23219	48225
65	23532	47777
66	23928	47499
67	24255	47084
68	24563	46635
69	24965	46365
70	25373	46101
71	25753	45784
72	26101	45409
73	26457	45049
74	26974	44957
75	27431	44756
76	27815	44432
77	28217	44135
78	28593	43794
79	28988	43483
80	29360	43134
81	29710	42754
82	30126	42467
83	30541	42176
84	30871	41767
85	31194	41350
86	31482	40891
87	31879	40574
88	32282	40261
89	32624	39873
90	32942	39459
91	33347	39147
92	33757	38839
93	34146	38505
94	34561	38199
95	34970	37884
96	35396	37586
97	35714	37172
98	36061	36790
99	36380	36380
100	36797	36068
101	37105	35650
102	37479	35296
103	37838	34927
104	38256	34613
105	38600	34230
106	39007	33903
107	39437	33594
108	39841	33261
109	40137	32839
110	40548	32511
111	40982	32200
112	41371	31852
113	41786	31523
114	42208	31197
115	42611	30856
116	42977	30488
117	43289	30082
118	43718	29757
119	44058	29372
120	44397	28986
121	44822	28656
122	45258	28332
123	45646	27977
124	46219	27731
125	46619	27379
126	47009	27021
127	47397	26660
128	47800	26308
129	48193	25950
130	48591	25593
131	48960	25222
132	49322	24846
133	49667	24462
134	50147	24145
135	50575	23800
136	51016	23459
137	51436	23109
138	51900	22776
139	52358	22439
140	52769	22080
141	53166	21715
142	53517	21332
143	53947	20979
144	54338	20611
145	54801	20269
146	55220	19909
147	55607	19537
148	55985	19162
149	56422	18807
150	56824	18439
151	57243	18076
152	57665	17714
153	58021	17330
154	58420	16960
155	58810	16587
156	59182	16209
157	59541	15827
158	59935	15455
159	60312	15078
160	60728	14710
161	61138	14341
162	61473	13954
163	61842	13575
164	62197	13193
165	62591	12820
166	62945	12438
167	63284	12054
168	63697	11684
169	64042	11301
170	64453	10930
171	64863	10559
172	65261	10185
173	65669	9812
174	66050	9435
175	66428	9058
176	66844	8685
177	67249	8311
178	67660	7937
179	68058	7562
180	68552	7196
181	68909	6815
182	69327	6440
183	69723	6062
184	70075	5681
185	70449	5302
186	70850	4925
187	71259	4548
188	71613	4167
189	72019	3790
190	72421	3412
191	72763	3031
192	73142	2652
193	73583	2275
194	73968	1896
195	74391	1518
196	74759	1138
197	75104	758
198	75514	379
199	75920	0
